alto cargo	NCCSO00
a tuertas	LOC_ADV
a tuertas o a derechas	LOC_ADV
a tuerto o a derecho	LOC_ADV
a tutiplén	LOC_ADV
a título de	LOC_PREP
a ultranza	LOC_ADV
a un lado de	LOC_PREP
a un lado y otro	LOC_ADV
a un solo efecto	LOC_ADV
a uno y otro lado	LOC_ADV
a upa	LOC_ADV
a usanza de	LOC_PREP
a veces	LOC_ADV
a vez que	LOC_CS
a vida o muerte	LOC_ADV
a vista de pájaro	LOC_ADV
a viva voz	LOC_ADV
a voz en cuello	LOC_ADV
a voz en grito	LOC_ADV
a vuela pluma	LOC_ADV
a vuelapluma	LOC_ADV
a vuelco de dado	LOC_ADV
a vuelta de	LOC_PREP
a vuelta de correo	LOC_ADV
a vuelta de ojo	LOC_ADV
a vuelta de ojos	LOC_ADV
a.	Y
a. C.	Y
A. D.	Y
a. de C.	Y
a. de J. C.	Y
A. I.	Y
a. J. C.	Y
a. m.	Y
A. M. D. G.	Y
A. R.	Y
A. S.	Y
A. T.	Y
A/A	Y
a/c	Y
a/f	Y
AA. VV.	Y
aa. vv.	Y
ab aeterno	LOC_ADV
ab initio	LOC_ADV
ab intestato	LOC_ADV
ab irato	LOC_ADV
ab ovo	LOC_ADV
Abg.	Y
acept.	Y
acerca de	LOC_PREP
ad calendas graecas	LOC_ADV
ad cautelam	LOC_ADV
ad efesios	LOC_ADV
ad hoc	LOC_ADV
ad hominem	LOC_ADV
ad honorem	LOC_ADV
ad infinitum	LOC_ADV
ad interim	LOC_ADV
ad lib	LOC_ADV
ad libitum	LOC_ADV
ad litem	LOC_ADV
ad litteram	LOC_ADV
ad quadrantum	LOC_ADV
ad triangulum	LOC_ADV
ad valorem	LOC_ADV
además de	LOC_PREP
además de eso	LOC_ADV
además de que	LOC_CS
adm.	Y
admón.	Y
afma.	Y
afmo.	Y
Agnus Dei	NCMS000
ahora bien	LOC_ADV
ahí es nada	LOC_ADV
ahí le duele	LOC_ADV
al abrigo de	LOC_PREP
al alcance de la mano	LOC_ADV
al alimón	LOC_ADV
al apa	LOC_ADV
al avemaría	LOC_ADV
al bies	LOC_ADV
al cabo de	LOC_PREP
al calor de	LOC_PREP
al carboncillo	LOC_ADV
al cargo de	LOC_PREP
al centro de	LOC_PREP
al chas chas	LOC_ADV
al cien por cien	LOC_ADV
al cierre del ejercicio	LOC_ADV
al clarear el día	LOC_ADV
al compás de	LOC_PREP
al conjuro de	LOC_PREP
al correr de la pluma	LOC_ADV
al correr del tiempo	LOC_ADV
al decir de	LOC_PREP
al derredor	LOC_ADV
al derredor de	LOC_PREP
al desbarate	LOC_ADV
al descuido y con cuidado	LOC_ADV
al desgaire	LOC_ADV
al detall	LOC_ADV
al estricote	LOC_ADV
al filo de	LOC_PREP
al filo de mediodía	LOC_ADV
al fin de la jornada	LOC_ADV
al fin y a la postre	LOC_ADV
al fin y al cabo	LOC_ADV
al frente de	LOC_PREP
al gratén	LOC_ADV
al grill	LOC_ADV
al gusto de	LOC_PREP
al hilo	LOC_ADV
al hilo de mediodía	LOC_ADV
al hilo del viento	LOC_ADV
al igual que	LOC_CS
al interior de	LOC_PREP
al libre albedrío	LOC_ADV
al lucero del alba	LOC_ADV
al mejor tiempo	LOC_ADV
al modo de	LOC_PREP
al objeto de	LOC_PREP
al olor de	LOC_PREP
al otro lado de	LOC_PREP
al par	LOC_ADV
al par que	LOC_CS
al paso que	LOC_CS
al paño	LOC_ADV
al pie de fábrica	LOC_ADV
al pie de la cuesta	LOC_ADV
al pie de la letra	LOC_ADV
al pie de la obra	LOC_ADV
al poco rato	LOC_ADV
al por mayor	LOC_ADV
al por menor	LOC_ADV
al primer envite	LOC_ADV
al primer folio	LOC_ADV
al primer gallo	LOC_ADV
al primer golpe de vista	LOC_ADV
al primer impulso	LOC_ADV
al proviso	LOC_ADV
al punto que	LOC_CS
al rape	LOC_ADV
al raso	LOC_ADV
al rededor	LOC_ADV
al retortero	LOC_ADV
al rojo blanco	LOC_ADV
al rojo cereza	LOC_ADV
al sesgo	LOC_ADV
al socaire	LOC_ADV
al socaire de	LOC_PREP
al tanto de	LOC_PREP
al temple	LOC_ADV
al tendido	LOC_ADV
al tenor de	LOC_PREP
al tiempo que	LOC_CS
al tresbolillo	LOC_ADV
