# This file has list of words that need to be removed in disamibguator.
# These worms are in the dictionary but extremely rare and cause ambiguity for frequent words.
# Anything with conditional logic should go into disambiguation.xml

А-БА-БА-ГА-ЛА-МА-ГА а-ба-ба-га-ла-ма-га noun:inanim:f:v_naz:prop:bad
опади опасти verb:perf:impr:s:2
опалим опалити verb:perf:futr:p:1:subst
опосередковано опосередкувати verb:perf:impers
орися оратися verb:rev:imperf:impr:s:2
оселю оселити verb:perf:futr:s:1
осип осипати verb:perf:impr:s:2
освіти освітити verb:perf:impr:s:2
очікувано очікувати verb:imperf:impers
пальне пальнути verb:perf:futr:s:3
пар парити verb:imperf:impr:s:2
параной паранойя noun:inanim:p:v_rod:alt
пере пер noun:anim:m:v_kly
перевищать перевищати verb:imperf:inf:arch:short
перевтоми перевтомити verb:perf:impr:s:2
перегляди переглядіти verb:perf:impr:s:2:xp2
перегною перегноїти verb:perf:futr:s:1
переїзди переїздити verb:imperf:impr:s:2
перепади перепасти verb:perf:impr:s:2
Перу прати verb:imperf:pres:s:1
питиме питимий adj:n:.*
півроку піврік noun:inanim:m:v_...:arch
під під noun:inanim.*
підвали підвалити verb:perf:impr:s:2:coll
підряди підрядити verb:perf:impr:s:2
пікне пікний adj:n:.*
пішли післати verb:perf:impr:s:2:bad
плів пліва noun:inanim:p:v_rod
плоди плодити verb:imperf:impr:s:2
плюгавим плюгавити verb:imperf:pres:p:1:subst
побільше побільший adj:n:v_.*
побори побороти verb:perf:impr:s:2
поважній поважніти verb:imperf:impr:s:2
повели повеліти verb:perf:impr:s:2
повій повіяти verb:perf:impr:s:2
повість повісти verb:perf:futr:s:3
повним повнити verb:imperf:pres:p:1:subst
повній повніти verb:imperf:impr:s:2
повністю повність noun:inanim:f:v_oru
поганим поганити verb:.*?:p:1:subst.*
поганій поганіти verb:imperf:impr:s:2
погрози погрозити verb:perf:impr:s:2
повію повіяти verb:perf:futr:s:1
подам поди noun:inanim:p:v_dav:ns
подій подіяти verb:perf:impr:s:2
подію подіяти verb:perf:futr:s:1
подовж подовжити verb:perf:impr:s:2
погрози погрозити verb:perf:impr:s:2
поймать поймати verb:perf:inf:slang:short
поле полоти verb:imperf:pres:s:3
полем полоти verb:imperf:pres:p:1:subst
поли полоти verb:imperf:impr:s:2
поліпи поліпити verb:perf:impr:s:2
полови половити verb:perf:impr:s:2
половим половити verb:perf:futr:p:1:subst
помалу помалий adj:f:v_zna:rare
помисли помислити verb:perf:impr:s:2
помножать помножати verb:imperf:inf:rare:short
помсти помстити verb:perf:impr:s:2
понад понада noun:inanim:p:v_rod
понурим понурити verb:perf:futr:p:1:subst
попри поперти verb:perf:impr:s:2
пори пороти verb:imperf:impr:s:2
порожній порожніти verb:imperf:impr:s:2
порив порити verb:perf:past:m
поринула поринулий adj:f:.*
поруч поруччя noun:inanim:p:v_rod
посадовим посадовити verb:perf:futr:p:1:subst
постанови постановити verb:perf:impr:s:2
потай потаїти verb:perf:impr:s:2
потроху потрох noun:inanim:m:.*
похилим похилити verb:perf:futr:p:1:subst
почутим почутити verb:perf:futr:p:1:arch:subst
пояснять поясняти verb:imperf:inf:rare:short
приводним приводнити verb:perf:futr:p:1:subst
признак признака noun:inanim:p:v_rod:rare
прикраси прикрасити verb:perf:impr:s:2
прими приняти verb:perf:impr:s:2:bad
приму приняти verb:perf:futr:s:1:bad
прийшла прийшлий adj:f:.*
Прип'ять прип'яти verb:perf:inf:short
притомній притомніти verb:imperf:impr:s:2
притчу приткати verb:perf:futr:s:1
прав правити verb:imperf:impr:s:2
правим правити verb:imperf:pres:p:1:subst
притік притекти verb:perf:past:m
причини причинити verb:perf:impr:s:2
пробіли пробілити verb:perf:impr:s:2
пробувала пробувалий adj:f:.*
прогули прогусти verb:perf:past:p
проїзди проїздити verb:imperf:impr:s:2
пророчим пророчити verb:imperf:pres:p:1:subst
пророчу пророчити verb:imperf:pres:s:1
просвіти просвітити verb:perf:impr:s:2
простим простити verb:perf:futr:p:1:subst
простій простояти verb:perf:impr:s:2
прояви проявити verb:perf:impr:s:2
ПРУ перти verb:imperf:pres:s:1
публіка публіка noun:anim.*
Пух пухнути verb:imperf:past:m
пустій пустіти verb:imperf:impr:s:2
п'яним п'янити verb:imperf:pres:p:1:subst
радів радіти verb:imperf:past:m
рівне рівня noun:.*v_kly.*
рідним ріднити verb:imperf:pres:p:1:subst
рідню ріднити verb:imperf:pres:s:1
різним різнити verb:imperf:pres:p:1:subst
різну різнути verb:perf:futr:s:1
різню різнити verb:imperf:pres:s:1
рік ректи verb:imperf:past.*
роди родити verb:imperf:impr:s:2|родити verb:perf:impr:s:2
рожевій рожевіти verb:imperf:impr:s:2
роздрібним роздрібнити verb:perf:futr:p:1:subst
розкисли розкислити verb:perf:impr:s:2
розколотим розколотити verb:perf:futr:p:1:subst
розмаєм розмаяти verb:perf:futr:p:1:subst
розмай розмаяти verb:perf:impr:s:2
розпаленій розпаленіти verb:perf:impr:s:2
розсоли розсолити verb:perf:impr:s:2
розумній розумніти verb:imperf:impr:s:2
раєм раяти verb:imperf:pres:p:1:subst
рай раяти verb:imperf:impr:s:2
раю раяти verb:imperf:pres:s:1
рою роїти verb:imperf:pres:s:1
рудій рудіти verb:imperf:impr:s:2
рябим рябити verb:imperf:pres:p:1:subst
садівничим садівничити verb:imperf:pres:p:1:subst
садівничу садівничити verb:imperf:pres:s:1
садовим садовити verb:imperf:pres:p:1:subst
сваволю сваволити verb:imperf:pres:s:1
свіжій свіжіти verb:imperf:impr:s:2
світлій світліти verb:imperf:impr:s:2
святим святити verb:imperf:pres:p:1:subst
сивій сивіти verb:imperf:impr:s:2
сине синь noun:inanim:f:v_kly
синій синіти verb:imperf:impr:s:2
синій-синій синіти-синіти verb:imperf:impr:s:2
синю синити verb:imperf:pres:s:1
сирій сиріти verb:imperf:impr:s:2
Сирії сирий adj:p:v_.*:long
СИРІЇ сирий adj:p:v_.*:long
сім сей adj:.:v_mis:&pron:dem:arch
Сірії сірий adj:p:v_.*:long
сірій сіріти verb:imperf:impr:s:2
січ січа noun:inanim:p:v_rod
скажу сказити verb:perf:futr:s:1
скипидар скипидарити verb:imperf:impr:s:2
скляній скляніти verb:imperf:impr:s:2
Сколе сколоти verb:perf:futr:s:3
скорим скорити verb:perf:futr:p:1:subst
скорім скорити verb:perf:impr:p:1
скупим скупити verb:perf:futr:p:1:subst
сліди слідити verb:imperf:impr:s:2
сліпим сліпити verb:imperf:pres:p:1:subst
смачній смачніти verb:imperf:impr:s:2
совіти совіти verb:imperf:inf
сором соромити verb:imperf:impr:s:2
спить спити verb:perf:inf:rare:short
спори спороти verb:perf:impr:s:2
спориш спорити verb:imperf:pres:s:2:bad
справ справити verb:perf:impr:s:2
срібним срібнити verb:imperf:pres:p:1:subst
становим становити verb:imperf:pres:p:1:subst
стану станути verb:perf:futr:s:1
станьте станути verb:perf:impr:p:2
сталим сталити verb:imperf:pres:p:1:subst
старим старити verb:imperf:pres:p:1:subst
старій старіти verb:imperf:impr:s:2
ствердну стверднути verb:perf:futr:s:1
суворій суворіти verb:imperf:impr:s:2
сусід сусіда noun:anim:p:v_.*
суті сутий adj:p:v.*
суть бути verb:imperf:pres:p:3:rare
твердим твердити verb:imperf:pres:p:1:subst.*
твердій твердіти verb:imperf:impr:s:2
твердь твердити verb:imperf:impr:s:2:xp1
тверезим тверезити verb:imperf:pres:p:1:subst
твори творити verb:imperf:impr:s:2
творив твориво noun:inanim:p:v_rod:rare
телепнем телепнути verb:perf:futr:p:1:subst
темним темнити verb:imperf:pres:p:1:subst
темній-темній темніти-темніти verb:imperf:impr:s:2
темній темніти verb:imperf:impr:s:2
теплій тепліти verb:imperf:impr:s:2
терни тернути verb:perf:impr:s:2
тим тим adv:rare
тих тихнути verb:imperf:past:m
тісним тіснити verb:imperf:pres:p:1:subst
товаришу товаришити verb:imperf:pres:s:1:bad
того тога noun:inanim:f:v_kly
томи томити verb:imperf:impr:s:2
тони тонути verb:imperf:impr:s:2
травні травний adj:p:.*
треба треба noun:inanim:f:v_naz
три терти verb:imperf:impr:s:2
три-три терти-терти verb:imperf:impr:s:2
труби трубити verb:imperf:impr:s:2
тупим тупити verb:imperf:pres:p:1:subst
тупій тупіти verb:imperf:impr:s:2
турів турів adj:m:.*
углиб углибити verb:perf:impr:s:2
удержав удержавити verb:perf:impr:s:2
украй украяти verb:perf:impr:s:2
умов умовити verb:perf:impr:s:2
Усі Ус noun:anim:m:v_mis:prop:lname
установи установити verb:perf:impr:s:2
утік утік noun:inanim:m:v_.*
ух ухо noun:inanim:p:v_rod:bad
фальшивим фальшивити verb:imperf:pres:p:1:subst
фестивалю фестивалити verb:imperf:pres:s:1:coll
хай хаяти verb:imperf:impr:s:2:bad
Харкові Харко noun:anim:m:v_.*
хибне хибнути verb:perf:futr:s:3
хибну хибнути verb:perf:futr:s:1
хижій хижіти verb:imperf:impr:s:2
химер химерити verb:imperf:impr:s:2
хитрим хитрити verb:imperf:pres:p:1:subst
хмарній хмарніти verb:imperf:impr:s:2
хмурим хмурити verb:imperf:pres:p:1:subst
холоди холодити verb:imperf:impr:s:2
холодній холодніти verb:imperf:impr:s:2
холостим холостити verb:imperf:pres:p:1:subst
хорошій хорошіти verb:imperf:impr:s:2
ходулі ходулі verb:imperf:inf:dimin
цікавим цікавити verb:imperf:pres:p:1:subst
цілим цілити verb:imperf:pres:p:1:subst:xp[12]
цілім цілити verb:imperf:impr:p:1:xp2
ціни цінити verb:imperf:impr:s:2
цур цура noun:inanim:p:v_rod:rare
часті часть noun:inanim:.*:arch
червоним червонити verb:imperf:pres:p:1:subst
червоній червоніти verb:imperf:impr:s:2
чернечим чернечити verb:imperf:pres:p:1:subst
