# Words that have two valid spellings (refer to https://github.com/languagetool-org/languagetool/issues/834). Used by WordCoherencyRule.
# For words that can have both initial uppercase and initial lowercase (romanise/Romanise), refer to https://forum.languagetool.org/t/coherency-rules-for-words-such-as-christianize-and-balkanize/3505/2
# This file must be encoded in UTF-8.
# NOTE: 
# 1) The comparison between two variants is based on the word's base form 
#    (Hence, variants which have the same base form such as 'cancelled' and 'canceled' are [currently] not detected)
# 2) to find fullforms those forms may need to be added to added.txt
# absinth;absinthe: https://wikidiff.com/absinth/absinthe
# gram;gramme. https://en.wikipedia.org/wiki/Gram_flour
# meter;metre: meter is an instrument and a unit of measurement.
# prise;prize: in BrE, both spellings are possible for the verb, but the noun is prize.
# whiskey;whisky. https://www.collinsdictionary.com/dictionary/english/whiskey
incentivisation;incentivization
incentivise;incentivize
Indianise;Indianize
indigenisation;indigenization
indigenise;indigenize
individualisation;individualization
individualise;individualize
individualiser;individualizer
industrialisation;industrialization
industrialise;industrialize
infantilise;infantilize
inflection;inflexion
initialisation;initialization
initialise;initialize
institutionalisation;institutionalization
institutionalise;institutionalize
instrumentalise;instrumentalize
intellectualisation;intellectualization
intellectualise;intellectualize
interconnection;interconnexion
interiorise;interiorize
internalisation;internalization
internalise;internalize
internationalisation;internationalization
internationalise;internationalize
introflection;introflexion
iodisation;iodization
iodise;iodize
iodiser;iodizer
ionisable;ionizable
ionisation;ionization
ionise;ionize
ioniser;ionizer
iridisation;iridization
iridise;iridize
ironise;ironize
irrationalise;irrationalize
irrealisable;irrealizable
Islamicise;Islamicize
Islamisation;Islamization
Islamise;Islamize
isomerisation;isomerization
isomerise;isomerize
Italianisation;Italianization
Italianise;Italianize
italicisation;italicization
italicise;italicize
itemisation;itemization
itemise;itemize
itemiser;itemizer
japanise;japanize
jargonisation;jargonization
jargonise;jargonize
jasperise;jasperize
jeopardise;jeopardize
journalise;journalize
Judaisation;Judaization
Judaise;Judaize
Judaiser;Judaizer
judicialise;judicialize
kaolinise;kaolinize
keratinise;keratinize
kilogram;kilogramme
kyanisation;kyanization
kyanise;kyanize
labialisation;labialization
labialise;labialize
laicisation;laicization
laicise;laicize
laminarise;laminarize
largess;largesse
lasagna;lasagne
lateralisation;lateralization
lateralise;lateralize
laterisation;laterization
laterise;laterize
Latinisation;Latinization
latinise;latinize
Latiniser;Latinizer
laymanise;laymanize
leastways;leastwise
legalisation;legalization
legalise;legalize
legendise;legendize
legitimatise;legitimatize
legitimisation;legitimization
legitimise;legitimize
lemmatisation;lemmatization
lemmatise;lemmatize
leucosis;leukosis
lexicalise;lexicalize
liberalisation;liberalization
liberalise;liberalize
liberaliser;liberalizer
linchpin;lynchpin
linearisation;linearization
linearise;linearize
lionisation;lionization
lionise;lionize
lioniser;lionizer
liquidisation;liquidization
liquidise;liquidize
liquidiser;liquidizer
literalisation;literalization
literalise;literalize
literaliser;literalizer
lobotomise;lobotomize
localisability;localizability
localisable;localizable
localisation;localization
localise;localize
localiser;localizer
logicise;logicize
luteinisation;luteinization
lyophilise;lyophilize
lyricise;lyricize
lysogenise;lysogenize
macadamise;macadamize
macadamised;macadamized
macarise;macarize
maderisation;maderization
maderise;maderize
magnetisability;magnetizability
magnetisable;magnetizable
magnetisation;magnetization
magnetise;magnetize
magnetiser;magnetizer
majorise;majorize
manikin;mannikin
marbleise;marbleize
marginalisation;marginalization
marginalise;marginalize
marinise;marinize
marketisation;marketization
marketise;marketize
martyrise;martyrize
masculinisation;masculinization
masculinise;masculinize
materialisation;materialization
materialise;materialize
mathematisation;mathematization
mathematise;mathematize
matronise;matronize
maximisation;maximization
maximise;maximize
maximiser;maximizer
mechanisable;mechanizable
mechanisation;mechanization
mechanise;mechanize
mechanised;mechanized
mechaniser;mechanizer
mediatisation;mediatization
mediatise;mediatize
medicalisation;medicalization
medicalise;medicalize
megagram;megagramme
melanisation;melanization
melanise;melanize
melodise;melodize
melodiser;melodizer
melodramatise;melodramatize
memorialisation;memorialization
memorialise;memorialize
memorialiser;memorializer
memorisable;memorizable
memorisation;memorization
memorise;memorize
memoriser;memorizer
mentalise;mentalize
mercerisation;mercerization
mercerise;mercerize
merchandise;merchandize
mesmerisation;mesmerization
mesmerise;mesmerize
mesmerised;mesmerized
mesmeriser;mesmerizer
metabolisable;metabolizable
metabolise;metabolize
metalize;metallize
metallisation;metallization
metallise;metallize
metamorphise;metamorphize
metamorphosise;metamorphosize
metastasise;metastasize
metathesise;metathesize
methodisation;methodization
methodise;methodize
metricise;metricize
metrisability;metrizability
metrisable;metrizable
microgram;microgramme
micronisation;micronization
micronise;micronize
militarisation;militarization
militarise;militarize
milligram;milligramme
mineralisable;mineralizable
mineralisation;mineralization
mineralise;mineralize
mineraliser;mineralizer
miniaturisation;miniaturization
miniaturise;miniaturize
minimalise;minimalize
minimisation;minimization
minimise;minimize
minimiser;minimizer
mischaracterise;mischaracterize
misrecognise;misrecognize
missionisation;missionization
missionise;missionize
mobilisable;mobilizable
mobilisation;mobilization
mobilisational;mobilizational
mobilise;mobilize
mobiliser;mobilizer
modalise;modalize
modelise;modelize
modernisation;modernization
modernise;modernize
moderniser;modernizer
modularisation;modularization
modularise;modularize
moisturise;moisturize
monarchise;monarchize
monetisation;monetization
monetise;monetize
mongrelise;mongrelize
monopolisation;monopolization
monopolise;monopolize
monopoliser;monopolizer
monumentalise;monumentalize
moralisation;moralization
moralise;moralize
moraliser;moralizer
Moslemise;Moslemize
Moslemise;Muslimise
Moslemise;Muslimize
Moslemize;Muslimise
Moslemize;Muslimize
motorisation;motorization
motorise;motorize
movable;moveable
multilateralise;multilateralize
multimerise;multimerize
municipalisation;municipalization
municipalise;municipalize
musicalise;musicalize
Muslimise;Muslimize
mutualisation;mutualization
mutualise;mutualize
mylonitisation;mylonitization
mythicise;mythicize
mythologise;mythologize
naïve;naive
nanisation;nanization
nanogram;nanogramme
naphthalise;naphthalize
narcotise;narcotize
narrativise;narrativize
nasalisation;nasalization
nasalise;nasalize
nationalisation;nationalization
nationalise;nationalize
nationaliser;nationalizer
nativise;nativize
naturalisation;naturalization
naturalise;naturalize
nebulisation;nebulization
nebulise;nebulize
nebuliser;nebulizer
necrotise;necrotize
neologise;neologize
neoterise;neoterize
neovascularisation;neovascularization
