#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
Daily Commercial Gazette	Z f s
Commercial Union	Z f s
Direct Assurance	Z f s
Direct Assurances	Z f p
Central City	Z f s
Central Station	Z f s
Atlantique Productions	Z f p
Aquitaine Limousin Poitou Charentes	Z e s
double corps	J e sp
cache culbuteurs	N m s
au contraire	A
à l'aise	A
social media	N e sp
Social Media	N e sp
fait maison	J e sp
Michael Jackson	Z m s
Century 21	Z e sp
Business Email Compromise	Z e sp
Al Pacino	Z m s
Victoria and Albert Museum	Z m s
base jump	N m s
tous ensemble	A
toutes ensemble	A
à peu près	A
Plus belle la vie	Z m s
effet liftant	N m s
effet lifting	N m s
pour le moment	A
au demeurant	A
de la tête aux pieds	A
d'ordinaire	A
état partie	N m s
états parties	N m p
#Valeurs actuelles	Z e sp
Point Vert	Z e sp
Wayward Pines	Z e sp
#émission de télévision	Z e sp
double face	N f s
doubles faces	N f p
close combat	N m s
Tel Farah	Z e s
Tel Aviv	Z e s
Tel-Aviv	Z e s
Tel Aviv-Jaffa	Z e s
Day 1 Studios	Z e sp
de manière à	P
vite fait bien fait	A
#États-Unis	Z m p
Union européenne	Z f s
Union Européenne	Z f s
entreprise sponsor	N f s
entreprises sponsors	N f p
Dalaï Lama	N m s
torse nu	N m s
rouge vif	N m s
gris foncé	N m s
en tout état de cause	A
grand place	N f s
mètre cube	N m s
mètres cube	N m p
lèche botte	N m s
lèche bottes	N m p
Mind Fruits	Z e sp
marque constructeur	N f s
#base de données	N f s
#bases de données	N f p
#site de rencontres	N m s
point retrait	N m s
points retrait	N m p
monnaies actif	N f p
monnaie actif	N f s
par inadvertence	A
à proprement parler	A
pure souche	J e sp
rayons X	N m p
US Marine Corps	Z e sp
US Air Force	Z e sp
US Navy	Z e sp
Marine Corps	Z e sp
au mieux	A
charge acquéreur	N f ss
charge vendeur	N f s
bas de contention	N m sp
#satisfaction client	N f s
#relation client	N f s
#fiche client	N f s
#fiches client	N f p
#base de données client	N f s
#bases de données client	N f p
un tantinet	A
#langue maternelle	N f s
#mauvais goût	N m s
tout de même	A
à première vue	A
à plusieurs reprises	A
plan cul	N m s
plans cul	N m p
plan rencontre	N m s
plans rencontre	N m p
mis à part	P
tout à coup	A
moyenne générale	N f s
moyennes générales	N f p
garantie constructeur	N f s
grand public	A
grand champs	N m s
coupes bise	N m p
coupe bise	N m s
tarif entreprise	N m s
tarifs entreprise	N m p
plus démunis	N m sp
par la suite	A
bande dessinée	N f s
bandes dessinées	N f p
double corps	N m s
ayant droit	N m s
ayants droit	N m p
à droite	A
à gauche	A
de forfaits	A
tout à fait	A
Force India	Z e sp
Sahara Force India	Z e sp
Zsa Zsa Gabor	Z f s
von Neumann	Z e sp
à la con	J e sp
street marketing	N m s
slow city	N f s
slow cities	N f p
baby boomer	N e s
baby boomers	N e p
Vendée Globe	Z m s
Black Eyed Peas	Z m p
The Black Eyed Peas	Z m p
Air France	Z e sp
Apache Software Foundation	Z f s
Buenos Aires	Z e sp
Casseurs Flowters	Z e sp
Central Park	Z m sp
Club Méditerranée	Z m sp
Cosa Nostra	N f sp
Creative Commons	Z e sp
deus ex machina	N m sp
Deutsche Bank	N f sp
Énergie Partagée	Z f sp
Free Software Foundation	Z f s
General Electric	Z f sp
General Motors	Z f sp
Golden Show	N m sp
Hero Corp	Z e sp
Hong Kong	Z e sp
jet set	N f sp
La Nouvelle-Orléans	Z f s
La Rochelle	Z e sp
Las Vegas	Z e sp
Le Bris	Z e sp
Les Vigneaux	Z e sp
Los Angeles	Z f sp
Lovely Rita	Z m sp
machine learning	N m s
machine learnings	N m p
Mix Bizarre	Z m sp
nec plus ultra	N m sp
New Delhi	Z e sp
New York	Z e sp
northern blot	N m sp
Olea Medical	Z f sp
persona non grata	J e sp
persona non grata	N e sp
Phnom Penh	Z e sp
Rhode Island	N m sp
Royal Navy	Z f sp
San Francisco	Z e sp
Scred TV	Z f sp
Sierra Leone	N f sp
Silicon Valley	N f sp
southern blot	N m sp
Standard de Liège	Z m sp
standing ovations	N f p
standing ovation	N f s
star systems	N m p
star system	N m s
statu quo	N m sp
Texas Instruments	Z e sp
The Document Foundation	Z f s
Wall Street	Z e sp
Ban Ki-moon	Z e sp
Johnny Cash	Z e sp
Bugs Bunny	Z e sp
Marvel Comics	Z e sp
Marvel DC	Z e sp
Hydro-Québec DC	Z e sp
en dehors	A
#un tiens vaut mieux que deux tu l'auras	A
interface utilisateur	N f s
au premier abord	A
de prime abord	A
d'ici peu	A
peu à peu	A
a priori	A
d'abord	A
tout d'abord	A
un peu	A
à moitié	A
en aucune manière	A
noir sur blanc	A
de nouveau	A
en large majorité	A
au loin	A
le plus souvent	A
tour à tour	A
en masse	A
fait divers	N m s
faits divers	N m p
quantitative easing	N m s
goutte à goutte	N m s
de derrière	P
rayon laser	N m s
rayons laser	N m p
par le fait	A
pour sa part	A
porte passager	N f s
porte conducteur	N f s
portes passager	N f p
portes conducteur	N f p
mise à jour	N f s
mise à niveau	N f s
mises à jour	N f p
mises à niveau	N f p
Bertin de la Doué	Z e sp
Eugénie Grandet	Z f s
brosse à dents	N f s
brosses à dents	N f p
de lèse-nation	J e sp
de toute évidence	A
la bémol	N m s
mi bémol	N m s
sol bémol	N m s
tandis que	C sub
tandis qu'	C sub
lors de	P
lors d'	P
dès lors que	C sub
dès lors qu'	C sub
lors même que	C sub
lors même qu'	C sub
General Motors	Z e sp
AC/DC	Z e sp
Le Pen	Z e sp
Viêt Nam	Z m s
Viet Nam	Z m s
divers droite	J e sp
du Boys	Z e sp
Demis Roussos	Z e sp
Blue Man Group	Z m s
The Gale Group	Z m s
Google Maps	Z m s
adresse e-mail	N f s
adresses e-mail	N f p
Word Online	Z m s
Kim Jong-il	Z m s
Alfa Romeo	Z e sp
Minute Man	N m s
op. cit.	N m s
heavy metal	J e sp
Addams Family	Z f s
Aerosmith	Z m s
Alan Stivell	Z m s
Alanis Morissette	Z f s
Alison Krauss	Z f s
Alyssa Milano	Z f s
American Fuzzy Lop	Z m s
Andre Agassi	Z m s
Andrea Bocelli	Z m s
Artur Avila	Z m s
Axl Rose	Z m s
Ban Ki-moon	Z m s
Barack Obama	Z m s
Barbara Hendricks	Z f s
Barbra Streisand	Z f s
Beastie Boys	Z m p
Bernez Tangi	Z m s
Bill Gates	Z m s
Billie Holiday	Z f s
Billy Squier	Z m s
Bjarne Stroustrup	Z m s
Bob Sinclar	Z m s
Bonnie Raitt	Z f s
