#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
La Motte-Fouquet;Z f s
La Motte-Saint-Jean;Z f s
La Motte-Saint-Martin;Z f s
La Motte-Servolex;Z f s
La Motte-Ternant;Z f s
La Motte-Tilly;Z f s
La Motte-d'Aigues;Z f s
La Motte-d'Aveillans;Z f s
La Motte-du-Caire;Z f s
La Motte-en-Bauges;Z f s
La Motte-en-Champsaur;Z f s
La Mure-Argens;Z f s
La Neuve-Grange;Z f s
La Neuve-Lyre;Z f s
La Neuvelle-lès-Lure;Z f s
La Neuvelle-lès-Scey;Z f s
La Neuveville-devant-Lépanges;Z f s
La Neuveville-sous-Châtenois;Z f s
La Neuveville-sous-Montfort;Z f s
La Neuville-Bosmont;Z f s
La Neuville-Chant-d'Oisel;Z f s
La Neuville-Housset;Z f s
La Neuville-Roy;Z f s
La Neuville-Saint-Pierre;Z f s
La Neuville-Sire-Bernard;Z f s
La Neuville-Vault;Z f s
La Neuville-au-Pont;Z f s
La Neuville-aux-Bois;Z f s
La Neuville-aux-Joûtes;Z f s
La Neuville-aux-Larris;Z f s
La Neuville-du-Bosc;Z f s
La Neuville-en-Beine;Z f s
La Neuville-en-Hez;Z f s
La Neuville-en-Tourne-à-Fuy;Z f s
La Neuville-lès-Bray;Z f s
La Neuville-lès-Dorengt;Z f s
La Neuville-lès-Wasigny;Z f s
La Neuville-sur-Essonne;Z f s
La Neuville-sur-Oudeuil;Z f s
La Neuville-sur-Ressons;Z f s
La Neuville-à-Maire;Z f s
La Nocle-Maulaix;Z f s
La Noë-Blanche;Z f s
La Noë-Poulain;Z f s
La Palud-sur-Verdon;Z f s
La Penne-sur-Huveaune;Z f s
La Penne-sur-l'Ouvèze;Z f s
La Petite-Boissière;Z f s
La Petite-Fosse;Z f s
La Petite-Marche;Z f s
La Petite-Pierre;Z f s
La Petite-Raon;Z f s
La Petite-Verrière;Z f s
La Plaine-des-Palmistes;Z f s
La Plaine-sur-Mer;Z f s
La Poterie-Cap-d'Antifer;Z f s
La Poterie-Mathieu;Z f s
La Proiselière-et-Langle;Z f s
La Queue-en-Brie;Z f s
La Queue-les-Yvelines;Z f s
La Rivière-Drugeon;Z f s
La Rivière-Enverse;Z f s
La Rivière-Saint-Sauveur;Z f s
La Rivière-de-Corps;Z f s
La Robine-sur-Galabre;Z f s
La Roche-Bernard;Z f s
La Roche-Blanche;Z f s
La Roche-Canillac;Z f s
La Roche-Chalais;Z f s
La Roche-Clermault;Z f s
La Roche-Guyon;Z f s
La Roche-Jaudy;Z f s
La Roche-Mabile;Z f s
La Roche-Maurice;Z f s
La Roche-Morey;Z f s
La Roche-Neuville;Z f s
La Roche-Noire;Z f s
La Roche-Posay;Z f s
La Roche-Rigault;Z f s
La Roche-Vanneau;Z f s
La Roche-Vineuse;Z f s
La Roche-de-Glun;Z f s
La Roche-de-Rame;Z f s
La Roche-des-Arnauds;Z f s
La Roche-en-Brenil;Z f s
La Roche-l'Abeille;Z f s
La Roche-sur-Foron;Z f s
La Roche-sur-Grane;Z f s
La Roche-sur-Yon;Z f s
La Roche-sur-le-Buis;Z f s
La Rochebeaucourt-et-Argentine;Z f s
La Rochefoucauld-en-Angoumois;Z f s
La Rochette-du-Buis;Z f s
La Roque-Alric;Z f s
La Roque-Baignard;Z f s
La Roque-Esclapon;Z f s
La Roque-Gageac;Z f s
La Roque-Sainte-Marguerite;Z f s
La Roque-d'Anthéron;Z f s
La Roque-en-Provence;Z f s
La Roque-sur-Cèze;Z f s
La Roque-sur-Pernes;Z f s
La Roquette-sur-Siagne;Z f s
La Roquette-sur-Var;Z f s
La Rue-Saint-Pierre;Z f s
La Répara-Auriples;Z f s
La Résie-Saint-Martin;Z f s
La Salette-Fallavaux;Z f s
La Salle-en-Beaumont;Z f s
La Salle-les-Alpes;Z f s
La Salvetat-Belmontet;Z f s
La Salvetat-Lauragais;Z f s
La Salvetat-Peyralès;Z f s
La Salvetat-Saint-Gilles;Z f s
La Salvetat-sur-Agout;Z f s
La Sauvetat-de-Savères;Z f s
La Sauvetat-du-Dropt;Z f s
La Sauvetat-sur-Lède;Z f s
La Sauzière-Saint-Jean;Z f s
La Selle-Craonnaise;Z f s
La Selle-Guerchaise;Z f s
La Selle-en-Hermoy;Z f s
La Selle-en-Luitré;Z f s
La Selle-la-Forge;Z f s
La Selle-sur-le-Bied;Z f s
La Serre-Bussière-Vieille;Z f s
La Seyne-sur-Mer;Z f s
La Suze-sur-Sarthe;Z f s
La Séauve-sur-Semène;Z f s
La Terrasse-sur-Dorlay;Z f s
La Teste-de-Buch;Z f s
La Tour-Blanche-Cercles;Z f s
La Tour-Saint-Gelin;Z f s
La Tour-d'Aigues;Z f s
La Tour-d'Auvergne;Z f s
La Tour-de-Salvagny;Z f s
La Tour-de-Sçay;Z f s
La Tour-du-Crieu;Z f s
La Tour-du-Meix;Z f s
La Tour-du-Pin;Z f s
La Tour-en-Jarez;Z f s
La Tour-en-Maurienne;Z f s
La Tour-sur-Orb;Z f s
La Tourette-Cabardès;Z f s
La Tranche-sur-Mer;Z f s
La Trinité-Porhoët;Z f s
La Trinité-Surzur;Z f s
La Trinité-de-Réville;Z f s
La Trinité-de-Thouberville;Z f s
La Trinité-des-Laitiers;Z f s
La Trinité-du-Mont;Z f s
La Trinité-sur-Mer;Z f s
La Vacheresse-et-la-Rouillie;Z f s
La Vacquerie-et-Saint-Martin-de-Castries;Z f s
La Valette-du-Var;Z f s
La Valla-en-Gier;Z f s
La Valla-sur-Rochefort;Z f s
La Vallée-Mulâtre;Z f s
La Vallée-au-Blé;Z f s
La Vendue-Mignot;Z f s
La Vespière-Friardel;Z f s
La Vicomté-sur-Rance;Z f s
La Vieille-Loye;Z f s
La Vieille-Lyre;Z f s
La Vieux-Rue;Z f s
La Ville-Dieu-du-Temple;Z f s
La Ville-aux-Bois;Z f s
La Ville-aux-Bois-lès-Dizy;Z f s
La Ville-aux-Bois-lès-Pontavert;Z f s
La Ville-aux-Clercs;Z f s
La Ville-aux-Dames;Z f s
La Ville-du-Bois;Z f s
La Ville-sous-Orbais;Z f s
La Ville-ès-Nonais;Z f s
La Villedieu-du-Clain;Z f s
La Villedieu-en-Fontenette;Z f s
La Villeneuve-Bellenoye-et-la-Maize;Z f s
La Villeneuve-au-Châtelot;Z f s
La Villeneuve-au-Chêne;Z f s
La Villeneuve-en-Chevrie;Z f s
La Villeneuve-les-Convers;Z f s
La Villeneuve-lès-Charleville;Z f s
La Villeneuve-sous-Thury;Z f s
La Voulte-sur-Rhône;Z f s
La Vraie-Croix;Z f s
La Vôge-les-Bains;Z f s
Laissac-Sévérac l'Église;Z e sp
Le Ban-Saint-Martin;Z m s
Le Bar-sur-Loup;Z m s
Le Bec-Hellouin;Z m s
Le Bec-Thomas;Z m s
Le Bellay-en-Vexin;Z m s
Le Bignon-Mirabeau;Z m s
Le Bignon-du-Maine;Z m s
Le Blanc-Mesnil;Z m s
Le Bois-Hellain;Z m s
Le Bois-Plage-en-Ré;Z m s
Le Bois-Robert;Z m s
Le Bosc-Renoult;Z m s
Le Bouchet-Mont-Charvin;Z m s
Le Bouchet-Saint-Nicolas;Z m s
Le Bouchon-sur-Saulx;Z m s
Le Boulay-Morin;Z m s
Le Boullay-Mivoye;Z m s
Le Boullay-Thierry;Z m s
Le Boullay-les-Deux-Églises;Z m s
Le Bourg-Dun;Z m s
Le Bourg-d'Hem;Z m s
Le Bourg-d'Oisans;Z m s
Le Bourget-du-Lac;Z m s
Le Bourgneuf-la-Forêt;Z m s
Le Bousquet-d'Orb;Z m s
Le Breil-sur-Mérize;Z m s
Le Breuil-en-Auge;Z m s
Le Breuil-en-Bessin;Z m s
Le Breuil-sur-Couze;Z m s
Le Brouilh-Monbert;Z m s
Le Buisson-de-Cadouin;Z m s
Le Bû-sur-Rouvres;Z m s
Le Cannet-des-Maures;Z m s
Le Castellard-Mélan;Z m s
Le Cateau-Cambrésis;Z m s
Le Caule-Sainte-Beuve;Z m s
Le Chaffaut-Saint-Jurson;Z m s
Le Chambon-Feugerolles;Z m s
Le Chambon-sur-Lignon;Z m s
Le Champ-Saint-Père;Z m s
Le Champ-de-la-Pierre;Z m s
Le Champ-près-Froges;Z m s
Le Chesnay-Rocquencourt;Z m s
Le Château-d'Almenêches;Z m s
Le Château-d'Oléron;Z m s
Le Châtelet-en-Brie;Z m s
Le Châtelet-sur-Meuse;Z m s
Le Châtelet-sur-Retourne;Z m s
Le Châtelet-sur-Sormonne;Z m s
Le Châtenet-en-Dognon;Z m s
Le Cloître-Pleyben;Z m s
Le Cloître-Saint-Thégonnec;Z m s
Le Collet-de-Dèze;Z m s
Le Controis-en-Sologne;Z m s
Le Coudray-Macouard;Z m s
Le Coudray-Montceaux;Z m s
Le Coudray-Saint-Germer;Z m s
Le Coudray-sur-Thelle;Z m s
Le Fay-Saint-Quentin;Z m s
Le Freney-d'Oisans;Z m s
Le Fresne-Camilly;Z m s
Le Fresne-Poret;Z m s
Le Frestoy-Vaux;Z m s
Le Gault-Saint-Denis;Z m s
Le Gault-Soigny;Z m s
Le Gault-du-Perche;Z m s
Le Genest-Saint-Isle;Z m s
Le Grand-Bornand;Z m s
Le Grand-Bourg;Z m s
Le Grand-Celland;Z m s
Le Grand-Lemps;Z m s
Le Grand-Lucé;Z m s
Le Grand-Madieu;Z m s
Le Grand-Pressigny;Z m s
Le Grand-Quevilly;Z m s
Le Grand-Serre;Z m s
Le Grand-Village-Plage;Z m s
Le Grau-du-Roi;Z m s
Le Gué-d'Alleré;Z m s
Le Gué-de-Longroi;Z m s
Le Gué-de-Velluire;Z m s
Le Haut-Bréda;Z m s
Le Haut-Corlay;Z m s
Le Housseau-Brétignolles;Z m s
Le Hérie-la-Viéville;Z m s
Le Kremlin-Bicêtre;Z m s
Le Lac-d'Issarlès;Z m s
Le Lardin-Saint-Lazare;Z m s
Le Lauzet-Ubaye;Z m s
Le Lion-d'Angers;Z m s
Le Loroux-Bottereau;Z m s
Le Malzieu-Forain;Z m s
Le Malzieu-Ville;Z m s
Le Marais-la-Chapelle;Z m s
Le Mas-d'Agenais;Z m s
Le Mas-d'Artige;Z m s
Le Mas-d'Azil;Z m s
Le Mas-de-Tence;Z m s
Le Masnau-Massuguiès;Z m s
Le May-sur-Èvre;Z m s
Le Mayet-d'École;Z m s
Le Mayet-de-Montagne;Z m s
Le Meix-Saint-Epoing;Z m s
Le Meix-Tiercelin;Z m s
Le Mesnil-Adelée;Z m s
Le Mesnil-Amelot;Z m s
Le Mesnil-Amey;Z m s
Le Mesnil-Aubert;Z m s
Le Mesnil-Aubry;Z m s
Le Mesnil-Conteville;Z m s
Le Mesnil-Durdent;Z m s
Le Mesnil-Esnard;Z m s
Le Mesnil-Eudes;Z m s
Le Mesnil-Eury;Z m s
Le Mesnil-Fuguet;Z m s
Le Mesnil-Garnier;Z m s
Le Mesnil-Gilbert;Z m s
Le Mesnil-Guillaume;Z m s
Le Mesnil-Jourdain;Z m s
Le Mesnil-Lieubray;Z m s
Le Mesnil-Ozenne;Z m s
Le Mesnil-Robert;Z m s
Le Mesnil-Rouxelin;Z m s
Le Mesnil-Réaume;Z m s
Le Mesnil-Saint-Denis;Z m s
Le Mesnil-Saint-Firmin;Z m s
Le Mesnil-Saint-Jean;Z m s
Le Mesnil-Simon;Z m s
Le Mesnil-Thomas;Z m s
Le Mesnil-Théribus;Z m s
Le Mesnil-Villeman;Z m s
Le Mesnil-Villement;Z m s
Le Mesnil-Véneron;Z m s
Le Mesnil-au-Grain;Z m s
Le Mesnil-au-Val;Z m s
Le Mesnil-en-Thelle;Z m s
Le Mesnil-le-Roi;Z m s
Le Mesnil-sous-Jumièges;Z m s
Le Mesnil-sur-Blangy;Z m s
Le Mesnil-sur-Bulles;Z m s
Le Mesnil-sur-Oger;Z m s
Le Minihic-sur-Rance;Z m s
Le Molay-Littry;Z m s
Le Monastier-sur-Gazeille;Z m s
Le Monestier-du-Percy;Z m s
Le Mont-Dieu;Z m s
Le Mont-Saint-Adrien;Z m s
Le Mont-Saint-Michel;Z m s
Le Monteil-au-Vicomte;Z m s
Le Monêtier-les-Bains;Z m s
Le Morne-Rouge;Z m s
Le Morne-Vert;Z m s
Le Moulinet-sur-Solin;Z m s
Le Mée-sur-Seine;Z m s
Le Ménil-Broût;Z m s
Le Ménil-Bérard;Z m s
Le Ménil-Ciboult;Z m s
Le Ménil-Guyon;Z m s
Le Ménil-Scelleur;Z m s
Le Ménil-Vicomte;Z m s
Le Ménil-de-Briouze;Z m s
Le Mêle-sur-Sarthe;Z m s
Le Nouvion-en-Thiérache;Z m s
Le Noyer-en-Ouche;Z m s
Le Palais-sur-Vienne;Z m s
Le Pas-Saint-l'Homer;Z m s
Le Pavillon-Sainte-Julie;Z m s
Le Perray-en-Yvelines;Z m s
Le Perreux-sur-Marne;Z m s
Le Petit-Celland;Z m s
Le Petit-Fougeray;Z m s
Le Petit-Pressigny;Z m s
Le Petit-Quevilly;Z m s
Le Pian-Médoc;Z m s
Le Pian-sur-Garonne;Z m s
Le Pin-Murelet;Z m s
Le Pin-au-Haras;Z m s
Le Pin-la-Garenne;Z m s
Le Plan-de-la-Tour;Z m s
Le Plessier-Huleu;Z m s
Le Plessier-Rozainvillers;Z m s
Le Plessier-sur-Bulles;Z m s
Le Plessier-sur-Saint-Just;Z m s
Le Plessis-Belleville;Z m s
Le Plessis-Bouchard;Z m s
Le Plessis-Brion;Z m s
Le Plessis-Dorin;Z m s
Le Plessis-Feu-Aussoux;Z m s
Le Plessis-Gassot;Z m s
Le Plessis-Grammoire;Z m s
Le Plessis-Grohan;Z m s
Le Plessis-Hébert;Z m s
Le Plessis-Lastelle;Z m s
Le Plessis-Luzarches;Z m s
Le Plessis-Patte-d'Oie;Z m s
Le Plessis-Placy;Z m s
Le Plessis-Pâté;Z m s
Le Plessis-Robinson;Z m s
Le Plessis-Sainte-Opportune;Z m s
Le Plessis-Trévise;Z m s
Le Plessis-aux-Bois;Z m s
Le Plessis-l'Échelle;Z m s
Le Plessis-l'Évêque;Z m s
Le Poiré-sur-Vie;Z m s
Le Poizat-Lalleyriat;Z m s
Le Pont-Chrétien-Chabenet;Z m s
Le Pont-de-Beauvoisin;Z m s
Le Pont-de-Claix;Z m s
Le Port-Marly;Z m s
Le Poujol-sur-Orb;Z m s
Le Poët-Célard;Z m s
Le Poët-Laval;Z m s
Le Poët-Sigillat;Z m s
Le Poët-en-Percip;Z m s
Le Pré-Saint-Gervais;Z m s
Le Pré-d'Auge;Z m s
Le Puy-Notre-Dame;Z m s
Le Puy-Sainte-Réparade;Z m s
Le Puy-en-Velay;Z m s
Le Péage-de-Roussillon;Z m s
Le Quesnel-Aubry;Z m s
Le Quesnoy-en-Artois;Z m s
Le Relecq-Kerhuon;Z m s
Le Revest-les-Eaux;Z m s
Le Rouget-Pers;Z m s
Le Rousset-Marizy;Z m s
Le Sap-André;Z m s
Le Sappey-en-Chartreuse;Z m s
Le Sauze-du-Lac;Z m s
Le Sel-de-Bretagne;Z m s
Le Taillan-Médoc;Z m s
Le Tartre-Gaudran;Z m s
Le Temple-de-Bretagne;Z m s
Le Temple-sur-Lot;Z m s
Le Tertre-Saint-Denis;Z m s
Le Theil-Nolent;Z m s
Le Theil-de-Bretagne;Z m s
Le Theil-en-Auge;Z m s
Le Thil-Riberpré;Z m s
Le Thoult-Trosnay;Z m s
Le Tilleul-Lambert;Z m s
Le Torp-Mesnil;Z m s
Le Touquet-Paris-Plage;Z m s
Le Tour-du-Parc;Z m s
Le Tremblay-Omonville;Z m s
Le Tremblay-sur-Mauldre;Z m s
Le Val-David;Z m s
Le Val-Doré;Z m s
Le Val-Larrey;Z m s
Le Val-Saint-Germain;Z m s
Le Val-Saint-Père;Z m s
Le Val-Saint-Éloi;Z m s
Le Val-d'Ajol;Z m s
Le Val-d'Esnoms;Z m s
Le Val-de-Gouhenans;Z m s
Le Val-de-Guéblange;Z m s
Le Vanneau-Irleau;Z m s
Le Verdon-sur-Mer;Z m s
Le Vernet-Chaméane;Z m s
Le Vernet-Sainte-Marguerite;Z m s
Le Vieil-Dampierre;Z m s
Le Vieil-Évreux;Z m s
Le Vieux-Bourg;Z m s
Le Vieux-Cérier;Z m s
Le Vieux-Marché;Z m s
Le Vignon-en-Quercy;Z m s
Le Vivier-sur-Mer;Z m s
Les Adrets-de-l'Estérel;Z m p
Les Aix-d'Angillon;Z m p
Les Alluets-le-Roi;Z m p
Les Ancizes-Comps;Z m p
Les Angles-sur-Corrèze;Z m p
Les Anses-d'Arlet;Z m p
Les Artigues-de-Lussac;Z m p
Les Autels-Villevillon;Z m p
Les Authieux-du-Puits;Z m p
Les Authieux-sur-Calonne;Z m p
Les Authieux-sur-le-Port-Saint-Ouen;Z m p
Les Avanchers-Valmorel;Z m p
Les Avenières Veyrins-Thuellin;Z m p
Les Baux-Sainte-Croix;Z m p
Les Baux-de-Breteuil;Z m p
Les Baux-de-Provence;Z m p
Les Bordes-Aumont;Z m p
Les Bordes-sur-Arize;Z m p
Les Cent-Acres;Z m p
Les Champs-Géraux;Z m p
Les Chapelles-Bourbon;Z m p
Les Chavannes-en-Maurienne;Z m p
Les Châtelliers-Notre-Dame;Z m p
Les Clayes-sous-Bois;Z m p
Les Contamines-Montjoie;Z m p
Les Corvées-les-Yys;Z m p
Les Costes-Gozon;Z m p
Les Côtes-d'Arey;Z m p
Les Côtes-de-Corps;Z m p
Les Deux-Fays;Z m p
Les Deux-Villes;Z m p
Les Essards-Taignevaux;Z m p
Les Essarts-le-Roi;Z m p
Les Essarts-le-Vicomte;Z m p
Les Essarts-lès-Sézanne;Z m p
Les Grandes-Armoises;Z m p
Les Grandes-Chapelles;Z m p
Les Grandes-Loges;Z m p
Les Grandes-Ventes;Z m p
Les Grands-Chézeaux;Z m p
Les Granges-Gontardes;Z m p
Les Granges-le-Roi;Z m p
Les Hautes-Rivières;Z m p
Les Hauts-Talican;Z m p
Les Hauts-d'Anjou;Z m p
Les Hauts-de-Caux;Z m p
Les Hauts-de-Chée;Z m p
Les Hôpitaux-Neufs;Z m p
Les Hôpitaux-Vieux;Z m p
Les Isles-Bardel;Z m p
Les Istres-et-Bury;Z m p
Les Landes-Genusson;Z m p
Les Loges-Marchis;Z m p
Les Loges-Margueron;Z m p
Les Loges-Saulces;Z m p
Les Loges-en-Josas;Z m p
Les Loges-sur-Brécey;Z m p
Les Lucs-sur-Boulogne;Z m p
Les Lèves-et-Thoumeyragues;Z m p
Les Magnils-Reigniers;Z m p
Les Martres-d'Artière;Z m p
Les Martres-de-Veyre;Z m p
Les Moitiers-d'Allonne;Z m p
Les Monts-Ronds;Z m p
Les Monts-Verts;Z m p
Les Moutiers-en-Auge;Z m p
Les Moutiers-en-Cinglais;Z m p
Les Moutiers-en-Retz;Z m p
Les Noës-près-Troyes;Z m p
Les Ollières-sur-Eyrieux;Z m p
Les Ormes-sur-Voulzie;Z m p
Les Pavillons-sous-Bois;Z m p
Les Pennes-Mirabeau;Z m p
Les Petites-Armoises;Z m p
Les Petites-Loges;Z m p
Les Plains-et-Grands-Essarts;Z m p
Les Planches-en-Montagne;Z m p
Les Planches-près-Arbois;Z m p
Les Ponts-de-Cé;Z m p
Les Portes-en-Ré;Z m p
Les Rivières-Henruel;Z m p
Les Roches-de-Condrieu;Z m p
Les Roches-l'Évêque;Z m p
Les Rouges-Eaux;Z m p
Les Rues-des-Vignes;Z m p
Les Sables-d'Olonne;Z m p
Les Salles-Lavauguyon;Z m p
Les Salles-de-Castillon;Z m p
Les Salles-du-Gardon;Z m p
Les Salles-sur-Verdon;Z m p
Les Souhesmes-Rampont;Z m p
Les Terres-de-Chaux;Z m p
Les Thilliers-en-Vexin;Z m p
Les Touches-de-Périgny;Z m p
Les Trois-Bassins;Z m p
Les Trois-Châteaux;Z m p
Les Trois-Domaines;Z m p
Les Trois-Moutiers;Z m p
Les Trois-Pierres;Z m p
Les Trois-Îlets;Z m p
Les Velluire-sur-Vendée;Z m p
Les Ventes-de-Bourse;Z m p
Les Villards-sur-Thônes;Z m p
Les Églises-d'Argenteuil;Z m p
Les Églisottes-et-Chalaures;Z m p
Morannes sur Sarthe-Daumeray;Z e sp
Pont de Montvert - Sud Mont Lozère;Z e sp
Prailles-La Couarde;Z e sp
Saint Aulaye-Puymangou;Z e sp
Saint Bonnet-Laval;Z e sp
Saint Géry-Vers;Z e sp
Saint-Paterne - Le Chevain;Z e sp
Saint-Thégonnec Loc-Eguiner;Z e sp
Sarroux - Saint Julien;Z e sp
Segré-en-Anjou Bleu;Z e sp
Sépeaux-Saint Romain;Z e sp
Val Buëch-Méouge;Z e sp
Val d'Erdre-Auxence;Z e sp
Valgelon-La Rochette;Z e sp
Facebook Ads;Z e sp
LinkedIn Ads;Z e sp
Google Ads;Z e sp
Samsung Galaxy;Z m sp
Ford Galaxy;Z f sp
Google Maps;Z e sp
Joe Biden;Z m sp
Sun Microsystems;Z e sp
Saudi Aramco;Z e sp
Black Friday;N m sp
Santa Barbara;Z f sp
Santa Fe;Z f sp
Santa Cruz;Z f sp
Santa Clarita;Z f sp
Santa Marta;Z f sp
TV5 Monde;Z e sp
open market;N m s
open markets;N m p
landing page;N f s
landing pages;N f p
top model;N f s
top models;N f p
horse power;N m s
Fairtrade Canada;Z e sp
Bayern Munich;Z e sp
Lola Lafon;Z f s
quès aco;A
qu'es aco;A
Tristesse d'Olympio;Z e sp
Henri Troyat;Z m s
James Prescott Joule;Z m sp
John McAdam;Z m sp
la dune du Pilat;N f s
mind map;N f s
mind mapping;N m s
Oraison funèbre de Henriette-Anne d'Angleterre;N f s
un persona;N m s
data centers;N m p
Chermignon und Lens;Z e sp
Lac d'Ai;Z m s
Lac d'Emosson;Z m s
Lac d'Icogne;Z m s
Lac d'Orny;Z m s
Lac de l'Armina;Z m s
Lac de l'Entonnoir;Z m s
Lac de l'Hongrin;Z m s
Vallée de Joux;Z e sp
Star Ac';N f s
petit dej;N m s
petit dej';N m s
Jean-Baptiste Troppmann;Z m s
Hortense Kinck;Z f s
Jean Kinck;Z m s
Auguste Ambroise Tardieu;Z m s
Ponson du Terrail;Z m s
Pierre Alexis de Ponson du Terrail;Z m s
Arcisse de Caumont;Z m s
Jacques Boucher de Perthes;Z m s
Gabriel de Mortillet;Z m s
Salomon Reinach;Z m s
Paul-Émile Botta;Z m s
Victor Place;Z m s
Léopold de Hohenzollern-Sigmaringen;Z m s
Allan Kardec;Z m s
Eliphas Lévi;Z m s
Eugène-François Vidocq;Z m s
Paul Augier;Z m s
Joseph Vermot;Z m s
David Copperfield;Z m s
John Day;Z m s
John Price;Z m s
Ignace Joseph Pleyel;Z m s
Ignace Pleyel;Z m s
Marwan Barghouti;Z m s
ni Melal;Z e s
Henri Estienne;Z m s
Booz endormi;Z e s
Marc Lavoine;Z m s
Albert Vidalie;Z m s
Boris Cyrulnik;Z m s
Princesse Tam Tam;Z e sp
Burton of London;Z e sp
Philémon et Baucis;Z e sp
La Fenice;Z f s
Raphaël Meltz;Z m s
Jacques Capelovici;Z m s
Maître Capelo;Z m s
Maître Capello;Z m s
carré Sator;N m s
Nord Stream;Z e s
Pierre-Paul Riquet;Z m s
beach tennis;N m sp
Judith Godrèche;Z f s
Club Med;Z m s
Club Meds;Z m p
Béni Melal;Z e s
Henri Estienne;Z m s
Booz endormi;Z e s
Marc Lavoine;Z m s
Albert Vidalie;Z m s
Boris Cyrulnik;Z m s
Princesse Tam Tam;Z e sp
Burton of London;Z e sp
Philémon et Baucis;Z e sp
La Fenice;Z f s
Raphaël Meltz;Z m s
Jacques Capelovici;Z m s
Maître Capelo;Z m s
Maître Capello;Z m s
carré Sator;N m s
Nord Stream;Z e s
Pierre-Paul Riquet;Z m s
beach tennis;N m sp
Judith Godrèche;Z f s
Club Med;Z m s
Club Meds;Z m p
Ysaora Thibus;Z f s
Laurent Jouvet;Z m s
Al-Khaldiya SC;N e s
Al-Khaldiya Sporting Club;N e s
Sofia Kovalevskaïa;Z f s
Maïa Plissetskaïa;Z f s
David Ben Gourion;Z m s
Ben Gourion;Z m s
Champs Élysées;Z m p
Champs-Élysées;Z m p
François Turcas;Z m s
# Adding multiwords with apostrophes that were living in added.txt
je-m'en-foutiste;S
Île-d'Yeu;Z f s
Meslin-l'Évêque;Z e s
L'Olympia;Z e s
Notre-Dame-d'Estrées-Corbon;Z e sp
Saint-Jean-d'Ardières;Z e sp
L'Obs;Z e sp
J'Run;Z e sp
Saint-Bauzille-d'Héraud;Z e sp
Saint-Chély-d'Apcher;Z e sp
Saint-Rambert-d'Albon;Z e sp
Saint-Aubin-d'Appenai;Z e sp
Saint-Marcel-d'Ardèche;Z e sp
Saint-Germain-d'Aunay;Z e sp
Saint-Germain-d'Auxerre;Z e sp
Saint-Côme-d'Olt;Z e sp
Saint-Jean-d'Angély;Z e sp
Décath';Z e sp
Monop';Z e sp
MaPrimeRénov';N f s
Crit'Air;J e sp
D'Artagnan;Z m s
Château-d'Œx;Z m s
Val-d'Illiez;Z m s
Star Ac';N f s
Bagnolesdel'OrneNormandie;Z e sp
Berd'huis;Z e sp
Castelnaud'AuzanLabarrère;Z e sp
ClefValléed'Eure;Z e sp
Communenouvelled'Arrou;Z e sp
Gommenec'h;Z e sp
Grand'Landes;Z e sp
Grand'Rivière;Z e sp
Guilligomarc'h;Z e sp
JuvignyVald'Andaine;Z e sp
Kermoroc'h;Z e sp
L'Absie;Z e sp
L'Aigle;Z e sp
L'Aiguillon;Z e sp
L'Albenc;Z e sp
L'Albère;Z e sp
L'Arbresle;Z e sp
L'Escale;Z e sp
L'Escarène;Z e sp
L'Estréchure;Z e sp
L'Habit;Z e sp
L'Herbergement;Z e sp
L'Herm;Z e sp
L'Hermenault;Z e sp
L'Hermitage;Z e sp
L'Horme;Z e sp
L'Hosmes;Z e sp
L'Hospitalet;Z e sp
L'Houmeau;Z e sp
L'Huisserie;Z e sp
L'Hôpital;Z e sp
L'Hôtellerie;Z e sp
L'Orbrie;Z e sp
L'Union;Z e sp
L'Écaille;Z e sp
L'Échelle;Z e sp
L'Écouvotte;Z e sp
L'Éguille;Z e sp
L'Épine;Z e sp
L'Étoile;Z e sp
L'Étrat;Z e sp
LesBoisd'Anjou;Z e sp
LesMontsd'Andaine;Z e sp
LesMontsd'Aunay;Z e sp
M'Tsangamouji;Z e sp
MézidonValléed'Auge;Z e sp
Ombréed'Anjou;Z e sp
Oréed'Anjou;Z e sp
Palmasd'Aveyron;Z e sp
Plateaud'Hauteville;Z e sp
Plouezoc'h;Z e sp
Ploulec'h;Z e sp
Plourac'h;Z e sp
Rivesd'Andaine;Z e sp
Rivesdel'Yon;Z e sp
SaintAntoinel'Abbaye;Z e sp
SaintGeniezd'Oltetd'Aubrac;Z e sp
SaintMartindel'If;Z e sp
Sant'Antonino;Z e sp
Sévéracd'Aveyron;Z e sp
Vald'Anast;Z e sp
Vald'Arcomie;Z e sp
Vald'Arry;Z e sp
Vald'Issoire;Z e sp
Vald'Oingt;Z e sp
Vald'Orger;Z e sp
Vald'Oronaye;Z e sp
Vald'Oust;Z e sp
Vauxd'Amognes;Z e sp
Verneuild'Avreetd'Iton;Z e sp
Agen-d'Aveyron;Z e sp
Aigrefeuille-d'Aunis;Z e sp
Aire-sur-l'Adour;Z e sp
Albon-d'Ardèche;Z e sp
Alland'Huy-et-Sausseuil;Z e sp
Amel-sur-l'Étang;Z e sp
Angerville-l'Orcher;Z e sp
Angles-sur-l'Anglin;Z e sp
Anglesqueville-l'Esneval;Z e sp
Arthez-d'Armagnac;Z e sp
Arthez-d'Asson;Z e sp
Arzenc-d'Apcher;Z e sp
Aubusson-d'Auvergne;Z e sp
